Category,Cargo,Figures,Month
Total Imports & Exports / Million Tons,Total Cargo,4.317,9/1/2020
Total TEU(s) in Millions,Imports,0.089,9/1/2020
Total TEU(s) in Millions,Exports,0.089,9/1/2020
Imports / Million Tons,Bulk Cargo,0.427,10/1/2020
Imports / Million Tons,General Cargo,1.491,10/1/2020
Imports / Million Tons,Total Dry Cargo,1.918,10/1/2020
Imports / Million Tons,Total Liquid Cargo,0.974,10/1/2020
Imports / Million Tons,Total Cargo,2.893,10/1/2020
Exports / Million Tons,Bulk Cargo,0.42,10/1/2020
Exports / Million Tons,General Cargo,0.82,10/1/2020
Exports / Million Tons,Total Dry Cargo,1.24,10/1/2020
Exports / Million Tons,Total Liquid Cargo,0.081,10/1/2020
Exports / Million Tons,Total Cargo,1.321,10/1/2020
Total Imports & Exports / Million Tons,Bulk Cargo,0.847,10/1/2020
Total Imports & Exports / Million Tons,General Cargo,2.311,10/1/2020
Total Imports & Exports / Million Tons,Total Dry Cargo,3.158,10/1/2020
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.055,10/1/2020
Total Imports & Exports / Million Tons,Total Cargo,4.213,10/1/2020
Total TEU(s) in Millions,Imports,0.089,10/1/2020
Total TEU(s) in Millions,Exports,0.095,10/1/2020
Imports / Million Tons,Bulk Cargo,0.755,11/1/2020
Imports / Million Tons,General Cargo,1.564,11/1/2020
Imports / Million Tons,Total Dry Cargo,2.319,11/1/2020
Imports / Million Tons,Total Liquid Cargo,0.802,11/1/2020
Imports / Million Tons,Total Cargo,3.121,11/1/2020
Exports / Million Tons,Bulk Cargo,0.378,11/1/2020
Exports / Million Tons,General Cargo,0.951,11/1/2020
Exports / Million Tons,Total Dry Cargo,1.329,11/1/2020
Exports / Million Tons,Total Liquid Cargo,0.065,11/1/2020
Exports / Million Tons,Total Cargo,1.394,11/1/2020
Total Imports & Exports / Million Tons,Bulk Cargo,1.132,11/1/2020
Total Imports & Exports / Million Tons,General Cargo,2.515,11/1/2020
Total Imports & Exports / Million Tons,Total Dry Cargo,3.648,11/1/2020
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.867,11/1/2020
Total Imports & Exports / Million Tons,Total Cargo,4.515,11/1/2020
Total TEU(s) in Millions,Imports,0.1,11/1/2020
Total TEU(s) in Millions,Exports,0.101,11/1/2020
Imports / Million Tons,Bulk Cargo,0.988,12/1/2020
Imports / Million Tons,General Cargo,1.554,12/1/2020
Imports / Million Tons,Total Dry Cargo,2.542,12/1/2020
Imports / Million Tons,Total Liquid Cargo,1.177,12/1/2020
Imports / Million Tons,Total Cargo,3.719,12/1/2020
Exports / Million Tons,Bulk Cargo,0.398,12/1/2020
Exports / Million Tons,General Cargo,1.024,12/1/2020
Exports / Million Tons,Total Dry Cargo,1.423,12/1/2020
Exports / Million Tons,Total Liquid Cargo,0.085,12/1/2020
Exports / Million Tons,Total Cargo,1.508,12/1/2020
Total Imports & Exports / Million Tons,Bulk Cargo,1.387,12/1/2020
Total Imports & Exports / Million Tons,General Cargo,2.579,12/1/2020
Total Imports & Exports / Million Tons,Total Dry Cargo,3.965,12/1/2020
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.262,12/1/2020
Total Imports & Exports / Million Tons,Total Cargo,5.227,12/1/2020
Total TEU(s) in Millions,Imports,0.106,12/1/2020
Total TEU(s) in Millions,Exports,0.1,12/1/2020
Imports / Million Tons,Bulk Cargo,0.839,1/1/2021
Imports / Million Tons,General Cargo,1.593,1/1/2021
Imports / Million Tons,Total Dry Cargo,2.432,1/1/2021
Imports / Million Tons,Total Liquid Cargo,0.93,1/1/2021
Imports / Million Tons,Total Cargo,3.362,1/1/2021
Exports / Million Tons,Bulk Cargo,0.294,1/1/2021
Exports / Million Tons,General Cargo,0.909,1/1/2021
Exports / Million Tons,Total Dry Cargo,1.203,1/1/2021
Exports / Million Tons,Total Liquid Cargo,0.119,1/1/2021
Exports / Million Tons,Total Cargo,1.322,1/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,1.132,1/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.502,1/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,3.635,1/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.049,1/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.684,1/1/2021
Total TEU(s) in Millions,Imports,0.104,1/1/2021
Total TEU(s) in Millions,Exports,0.11,1/1/2021
Imports / Million Tons,Bulk Cargo,0.582,2/1/2021
Imports / Million Tons,General Cargo,1.459,2/1/2021
Imports / Million Tons,Total Dry Cargo,2.041,2/1/2021
Imports / Million Tons,Total Liquid Cargo,0.919,2/1/2021
Imports / Million Tons,Total Cargo,2.959,2/1/2021
Exports / Million Tons,Bulk Cargo,0.32,2/1/2021
Exports / Million Tons,General Cargo,0.888,2/1/2021
Exports / Million Tons,Total Dry Cargo,1.208,2/1/2021
Exports / Million Tons,Total Liquid Cargo,0.067,2/1/2021
Exports / Million Tons,Total Cargo,1.275,2/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,0.902,2/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.347,2/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,3.249,2/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.985,2/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.235,2/1/2021
Total TEU(s) in Millions,Imports,0.096,2/1/2021
Total TEU(s) in Millions,Exports,0.096,2/1/2021
Imports / Million Tons,Bulk Cargo,0.584,3/1/2021
Imports / Million Tons,General Cargo,1.783,3/1/2021
Imports / Million Tons,Total Dry Cargo,2.367,3/1/2021
Imports / Million Tons,Total Liquid Cargo,1.023,3/1/2021
Imports / Million Tons,Total Cargo,3.39,3/1/2021
Exports / Million Tons,Bulk Cargo,0.357,3/1/2021
Exports / Million Tons,General Cargo,0.97,3/1/2021
Exports / Million Tons,Total Dry Cargo,1.327,3/1/2021
Exports / Million Tons,Total Liquid Cargo,0.12,3/1/2021
Exports / Million Tons,Total Cargo,1.447,3/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,0.941,3/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.753,3/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,3.694,3/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.144,3/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.837,3/1/2021
Total TEU(s) in Millions,Imports,0.103,3/1/2021
Total TEU(s) in Millions,Exports,0.112,3/1/2021
Imports / Million Tons,Bulk Cargo,0.414,4/1/2021
Imports / Million Tons,General Cargo,1.644,4/1/2021
Imports / Million Tons,Total Dry Cargo,2.058,4/1/2021
Imports / Million Tons,Total Liquid Cargo,0.933,4/1/2021
Imports / Million Tons,Total Cargo,2.991,4/1/2021
Exports / Million Tons,Bulk Cargo,0.621,4/1/2021
Exports / Million Tons,General Cargo,0.816,4/1/2021
Exports / Million Tons,Total Dry Cargo,1.437,4/1/2021
Exports / Million Tons,Total Liquid Cargo,0.064,4/1/2021
Exports / Million Tons,Total Cargo,1.501,4/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,1.035,4/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.46,4/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,3.495,4/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.997,4/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.492,4/1/2021
Total TEU(s) in Millions,Imports,0.099,4/1/2021
Total TEU(s) in Millions,Exports,0.096,4/1/2021
Imports / Million Tons,Bulk Cargo,0.216,5/1/2021
Imports / Million Tons,General Cargo,1.565,5/1/2021
Imports / Million Tons,Total Dry Cargo,1.781,5/1/2021
Imports / Million Tons,Total Liquid Cargo,1.028,5/1/2021
Imports / Million Tons,Total Cargo,2.809,5/1/2021
Exports / Million Tons,Bulk Cargo,0.413,5/1/2021
Exports / Million Tons,General Cargo,0.698,5/1/2021
Exports / Million Tons,Total Dry Cargo,1.111,5/1/2021
Exports / Million Tons,Total Liquid Cargo,0.1,5/1/2021
Exports / Million Tons,Total Cargo,1.211,5/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,0.629,5/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.263,5/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,2.892,5/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.129,5/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.021,5/1/2021
Total TEU(s) in Millions,Imports,0.102,5/1/2021
Total TEU(s) in Millions,Exports,0.101,5/1/2021
Imports / Million Tons,Bulk Cargo,0.542,6/1/2021
Imports / Million Tons,General Cargo,1.543,6/1/2021
Imports / Million Tons,Total Dry Cargo,2.085,6/1/2021
Imports / Million Tons,Total Liquid Cargo,1.039,6/1/2021
Imports / Million Tons,Total Cargo,3.124,6/1/2021
Exports / Million Tons,Bulk Cargo,0.245,6/1/2021
Exports / Million Tons,General Cargo,0.862,6/1/2021
Exports / Million Tons,Total Dry Cargo,1.107,6/1/2021
Exports / Million Tons,Total Liquid Cargo,0.112,6/1/2021
Exports / Million Tons,Total Cargo,1.219,6/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,0.787,6/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.406,6/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,3.192,6/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.151,6/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.343,6/1/2021
Total TEU(s) in Millions,Imports,0.101,6/1/2021
Total TEU(s) in Millions,Exports,0.099,6/1/2021
Imports / Million Tons,Bulk Cargo,0.37,7/1/2021
Imports / Million Tons,General Cargo,1.525,7/1/2021
Imports / Million Tons,Total Dry Cargo,1.895,7/1/2021
Imports / Million Tons,Total Liquid Cargo,1.063,7/1/2021
Imports / Million Tons,Total Cargo,2.958,7/1/2021
Exports / Million Tons,Bulk Cargo,0.132,7/1/2021
Exports / Million Tons,General Cargo,0.807,7/1/2021
Exports / Million Tons,Total Dry Cargo,0.939,7/1/2021
Exports / Million Tons,Total Liquid Cargo,0.125,7/1/2021
Exports / Million Tons,Total Cargo,1.064,7/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,0.501,7/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.332,7/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,2.834,7/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.188,7/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.022,7/1/2021
Total TEU(s) in Millions,Imports,0.102,7/1/2021
Total TEU(s) in Millions,Exports,0.102,7/1/2021
Imports / Million Tons,Bulk Cargo,0.38,8/1/2021
Imports / Million Tons,General Cargo,1.423,8/1/2021
Imports / Million Tons,Total Dry Cargo,1.803,8/1/2021
Imports / Million Tons,Total Liquid Cargo,1.314,8/1/2021
Imports / Million Tons,Total Cargo,3.117,8/1/2021
Exports / Million Tons,Bulk Cargo,0.267,8/1/2021
Exports / Million Tons,General Cargo,0.832,8/1/2021
Exports / Million Tons,Total Dry Cargo,1.1,8/1/2021
Exports / Million Tons,Total Liquid Cargo,0.118,8/1/2021
Exports / Million Tons,Total Cargo,1.218,8/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,0.648,8/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.255,8/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,2.903,8/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.433,8/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.336,8/1/2021
Total TEU(s) in Millions,Imports,0.092,8/1/2021
Total TEU(s) in Millions,Exports,0.097,8/1/2021
Imports / Million Tons,Bulk Cargo,0.384,9/1/2021
Imports / Million Tons,General Cargo,1.416,9/1/2021
Imports / Million Tons,Total Dry Cargo,1.8,9/1/2021
Imports / Million Tons,Total Liquid Cargo,1.382,9/1/2021
Imports / Million Tons,Total Cargo,3.182,9/1/2021
Exports / Million Tons,Bulk Cargo,0.269,9/1/2021
Exports / Million Tons,General Cargo,0.878,9/1/2021
Exports / Million Tons,Total Dry Cargo,1.147,9/1/2021
Exports / Million Tons,Total Liquid Cargo,0.1,9/1/2021
Exports / Million Tons,Total Cargo,1.247,9/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,0.652,9/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.295,9/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,2.947,9/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.482,9/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.429,9/1/2021
Total TEU(s) in Millions,Imports,0.088,9/1/2021
Total TEU(s) in Millions,Exports,0.096,9/1/2021
Imports / Million Tons,Bulk Cargo,0.809,10/1/2021
Imports / Million Tons,General Cargo,1.328,10/1/2021
Imports / Million Tons,Total Dry Cargo,2.137,10/1/2021
Imports / Million Tons,Total Liquid Cargo,1.242,10/1/2021
Imports / Million Tons,Total Cargo,3.379,10/1/2021
Exports / Million Tons,Bulk Cargo,0.359,10/1/2021
Exports / Million Tons,General Cargo,0.813,10/1/2021
Exports / Million Tons,Total Dry Cargo,1.172,10/1/2021
Exports / Million Tons,Total Liquid Cargo,0.095,10/1/2021
Exports / Million Tons,Total Cargo,1.267,10/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,1.168,10/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.142,10/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,3.309,10/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.337,10/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.646,10/1/2021
Total TEU(s) in Millions,Imports,0.08,10/1/2021
Total TEU(s) in Millions,Exports,0.086,10/1/2021
Imports / Million Tons,Bulk Cargo,0.463,11/1/2021
Imports / Million Tons,General Cargo,1.449,11/1/2021
Imports / Million Tons,Total Dry Cargo,1.912,11/1/2021
Imports / Million Tons,Total Liquid Cargo,1.151,11/1/2021
Imports / Million Tons,Total Cargo,3.064,11/1/2021
Exports / Million Tons,Bulk Cargo,0.587,11/1/2021
Exports / Million Tons,General Cargo,0.995,11/1/2021
Exports / Million Tons,Total Dry Cargo,1.581,11/1/2021
Exports / Million Tons,Total Liquid Cargo,0.087,11/1/2021
Exports / Million Tons,Total Cargo,1.668,11/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,1.049,11/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.444,11/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,3.493,11/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.238,11/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.732,11/1/2021
Total TEU(s) in Millions,Imports,0.095,11/1/2021
Total TEU(s) in Millions,Exports,0.089,11/1/2021
Imports / Million Tons,Bulk Cargo,0.266,12/1/2021
Imports / Million Tons,General Cargo,1.472,12/1/2021
Imports / Million Tons,Total Dry Cargo,1.738,12/1/2021
Imports / Million Tons,Total Liquid Cargo,1.134,12/1/2021
Imports / Million Tons,Total Cargo,2.873,12/1/2021
Exports / Million Tons,Bulk Cargo,0.514,12/1/2021
Exports / Million Tons,General Cargo,1.053,12/1/2021
Exports / Million Tons,Total Dry Cargo,1.567,12/1/2021
Exports / Million Tons,Total Liquid Cargo,0.111,12/1/2021
Exports / Million Tons,Total Cargo,1.678,12/1/2021
Total Imports & Exports / Million Tons,Bulk Cargo,0.78,12/1/2021
Total Imports & Exports / Million Tons,General Cargo,2.525,12/1/2021
Total Imports & Exports / Million Tons,Total Dry Cargo,3.305,12/1/2021
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.245,12/1/2021
Total Imports & Exports / Million Tons,Total Cargo,4.551,12/1/2021
Total TEU(s) in Millions,Imports,0.094,12/1/2021
Total TEU(s) in Millions,Exports,0.095,12/1/2021
Imports / Million Tons,Bulk Cargo,0.512,1/1/2022
Imports / Million Tons,General Cargo,1.739,1/1/2022
Imports / Million Tons,Total Dry Cargo,2.251,1/1/2022
Imports / Million Tons,Total Liquid Cargo,0.991,1/1/2022
Imports / Million Tons,Total Cargo,3.242,1/1/2022
Exports / Million Tons,Bulk Cargo,0.413,1/1/2022
Exports / Million Tons,General Cargo,1.01,1/1/2022
Exports / Million Tons,Total Dry Cargo,1.424,1/1/2022
Exports / Million Tons,Total Liquid Cargo,0.13,1/1/2022
Exports / Million Tons,Total Cargo,1.553,1/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.926,1/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.749,1/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,3.675,1/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.121,1/1/2022
Total Imports & Exports / Million Tons,Total Cargo,4.795,1/1/2022
Total TEU(s) in Millions,Imports,0.102,1/1/2022
Total TEU(s) in Millions,Exports,0.094,1/1/2022
Imports / Million Tons,Bulk Cargo,0.298,2/1/2022
Imports / Million Tons,General Cargo,1.31,2/1/2022
Imports / Million Tons,Total Dry Cargo,1.608,2/1/2022
Imports / Million Tons,Total Liquid Cargo,1.02,2/1/2022
Imports / Million Tons,Total Cargo,2.628,2/1/2022
Exports / Million Tons,Bulk Cargo,0.322,2/1/2022
Exports / Million Tons,General Cargo,1.078,2/1/2022
Exports / Million Tons,Total Dry Cargo,1.4,2/1/2022
Exports / Million Tons,Total Liquid Cargo,0.117,2/1/2022
Exports / Million Tons,Total Cargo,1.516,2/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.62,2/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.388,2/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,3.008,2/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.137,2/1/2022
Total Imports & Exports / Million Tons,Total Cargo,4.144,2/1/2022
Total TEU(s) in Millions,Imports,0.094,2/1/2022
Total TEU(s) in Millions,Exports,0.099,2/1/2022
Imports / Million Tons,Bulk Cargo,0.188,3/1/2022
Imports / Million Tons,General Cargo,1.447,3/1/2022
Imports / Million Tons,Total Dry Cargo,1.635,3/1/2022
Imports / Million Tons,Total Liquid Cargo,0.94,3/1/2022
Imports / Million Tons,Total Cargo,2.575,3/1/2022
Exports / Million Tons,Bulk Cargo,0.263,3/1/2022
Exports / Million Tons,General Cargo,1.052,3/1/2022
Exports / Million Tons,Total Dry Cargo,1.315,3/1/2022
Exports / Million Tons,Total Liquid Cargo,0.179,3/1/2022
Exports / Million Tons,Total Cargo,1.494,3/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.451,3/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.498,3/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.95,3/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.119,3/1/2022
Total Imports & Exports / Million Tons,Total Cargo,4.069,3/1/2022
Total TEU(s) in Millions,Imports,0.09,3/1/2022
Total TEU(s) in Millions,Exports,0.101,3/1/2022
Imports / Million Tons,Bulk Cargo,0.031,4/1/2022
Imports / Million Tons,General Cargo,1.377,4/1/2022
Imports / Million Tons,Total Dry Cargo,1.408,4/1/2022
Imports / Million Tons,Total Liquid Cargo,1.187,4/1/2022
Imports / Million Tons,Total Cargo,2.595,4/1/2022
Exports / Million Tons,Bulk Cargo,0.084,4/1/2022
Exports / Million Tons,General Cargo,0.91,4/1/2022
Exports / Million Tons,Total Dry Cargo,0.994,4/1/2022
Exports / Million Tons,Total Liquid Cargo,0.096,4/1/2022
Exports / Million Tons,Total Cargo,1.09,4/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.115,4/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.287,4/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.402,4/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.283,4/1/2022
Total Imports & Exports / Million Tons,Total Cargo,3.684,4/1/2022
Total TEU(s) in Millions,Imports,0.083,4/1/2022
Total TEU(s) in Millions,Exports,0.08,4/1/2022
Imports / Million Tons,Bulk Cargo,0.153,5/1/2022
Imports / Million Tons,General Cargo,1.542,5/1/2022
Imports / Million Tons,Total Dry Cargo,1.694,5/1/2022
Imports / Million Tons,Total Liquid Cargo,1.44,5/1/2022
Imports / Million Tons,Total Cargo,3.134,5/1/2022
Exports / Million Tons,Bulk Cargo,0.096,5/1/2022
Exports / Million Tons,General Cargo,0.846,5/1/2022
Exports / Million Tons,Total Dry Cargo,0.942,5/1/2022
Exports / Million Tons,Total Liquid Cargo,0.138,5/1/2022
Exports / Million Tons,Total Cargo,1.08,5/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.249,5/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.387,5/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.636,5/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.578,5/1/2022
Total Imports & Exports / Million Tons,Total Cargo,4.214,5/1/2022
Total TEU(s) in Millions,Imports,0.086,5/1/2022
Total TEU(s) in Millions,Exports,0.086,5/1/2022
Imports / Million Tons,Bulk Cargo,0.166,6/1/2022
Imports / Million Tons,General Cargo,1.429,6/1/2022
Imports / Million Tons,Total Dry Cargo,1.595,6/1/2022
Imports / Million Tons,Total Liquid Cargo,1.212,6/1/2022
Imports / Million Tons,Total Cargo,2.807,6/1/2022
Exports / Million Tons,Bulk Cargo,0.254,6/1/2022
Exports / Million Tons,General Cargo,0.926,6/1/2022
Exports / Million Tons,Total Dry Cargo,1.18,6/1/2022
Exports / Million Tons,Total Liquid Cargo,0.114,6/1/2022
Exports / Million Tons,Total Cargo,1.294,6/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.42,6/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.355,6/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.775,6/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.326,6/1/2022
Total Imports & Exports / Million Tons,Total Cargo,4.1,6/1/2022
Total TEU(s) in Millions,Imports,0.086,6/1/2022
Total TEU(s) in Millions,Exports,0.087,6/1/2022
Imports / Million Tons,Bulk Cargo,0.2,7/1/2022
Imports / Million Tons,General Cargo,1.56,7/1/2022
Imports / Million Tons,Total Dry Cargo,1.76,7/1/2022
Imports / Million Tons,Total Liquid Cargo,1.037,7/1/2022
Imports / Million Tons,Total Cargo,2.797,7/1/2022
Exports / Million Tons,Bulk Cargo,0.101,7/1/2022
Exports / Million Tons,General Cargo,0.684,7/1/2022
Exports / Million Tons,Total Dry Cargo,0.785,7/1/2022
Exports / Million Tons,Total Liquid Cargo,0.062,7/1/2022
Exports / Million Tons,Total Cargo,0.848,7/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.301,7/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.244,7/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.545,7/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.099,7/1/2022
Total Imports & Exports / Million Tons,Total Cargo,3.644,7/1/2022
Total TEU(s) in Millions,Imports,0.093,7/1/2022
Total TEU(s) in Millions,Exports,0.078,7/1/2022
Imports / Million Tons,Bulk Cargo,0.337,8/1/2022
Imports / Million Tons,General Cargo,1.427,8/1/2022
Imports / Million Tons,Total Dry Cargo,1.764,8/1/2022
Imports / Million Tons,Total Liquid Cargo,0.902,8/1/2022
Imports / Million Tons,Total Cargo,2.666,8/1/2022
Exports / Million Tons,Bulk Cargo,0.198,8/1/2022
Exports / Million Tons,General Cargo,0.642,8/1/2022
Exports / Million Tons,Total Dry Cargo,0.84,8/1/2022
Exports / Million Tons,Total Liquid Cargo,0.063,8/1/2022
Exports / Million Tons,Total Cargo,0.904,8/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.535,8/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.069,8/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.604,8/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.965,8/1/2022
Total Imports & Exports / Million Tons,Total Cargo,3.569,8/1/2022
Total TEU(s) in Millions,Imports,0.086,8/1/2022
Total TEU(s) in Millions,Exports,0.091,8/1/2022
Imports / Million Tons,Bulk Cargo,0.558,9/1/2022
Imports / Million Tons,General Cargo,1.104,9/1/2022
Imports / Million Tons,Total Dry Cargo,1.662,9/1/2022
Imports / Million Tons,Total Liquid Cargo,0.717,9/1/2022
Imports / Million Tons,Total Cargo,2.38,9/1/2022
Exports / Million Tons,Bulk Cargo,0.321,9/1/2022
